symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
SLHN.SW,524,0.8282,0.0404,0.8165,4.4069
TKR,754,0.7851,0.0370,0.8166,4.4064
AHT.L,608,0.7993,0.0508,0.8180,4.4054
SNA,645,0.8124,0.0329,0.8112,4.4049
BALL,722,0.7950,0.0335,0.8136,4.4010
OLED,614,0.7818,0.0702,0.8188,4.3993
ADI,850,0.7635,0.0484,0.8146,4.3992
MOS,769,0.7737,0.0466,0.8173,4.3987
STLAM.MI,531,0.8173,0.0477,0.8182,4.3975
OMC,586,0.8174,0.0333,0.8166,4.3972
J,854,0.7693,0.0371,0.8160,4.3957
AXP,889,0.7739,0.0352,0.8079,4.3952
IT,622,0.8039,0.0434,0.8144,4.3952
ADM,760,0.7895,0.0331,0.8118,4.3927
AMZN,569,0.7961,0.0603,0.8197,4.3907
NVR,779,0.7728,0.0428,0.8180,4.3900
DHI,716,0.7765,0.0523,0.8168,4.3884
TROW,653,0.7979,0.0423,0.8132,4.3846
PTC,734,0.7820,0.0500,0.8088,4.3831
PCG,838,0.7780,0.0338,0.8091,4.3814
SKX,544,0.8015,0.0580,0.8198,4.3798
AME,725,0.7890,0.0317,0.8168,4.3794
NEM,814,0.7703,0.0403,0.8152,4.3784
PPG,702,0.7963,0.0336,0.8115,4.3782
ADBE,811,0.7670,0.0495,0.8113,4.3752
RNO.PA,544,0.8162,0.0456,0.8136,4.3746
PAG.L,573,0.8080,0.0419,0.8179,4.3743
UNH,671,0.7973,0.0389,0.8112,4.3743
ABT,734,0.7970,0.0279,0.8088,4.3731
ZBRA,669,0.7937,0.0436,0.8110,4.3714
REGN,741,0.7611,0.0593,0.8202,4.3707
ANF,589,0.7895,0.0603,0.8183,4.3706
VRSN,532,0.8064,0.0540,0.8187,4.3690
WRB,711,0.7975,0.0336,0.8070,4.3686
BAMI.MI,566,0.7986,0.0536,0.8187,4.3676
PG,821,0.7856,0.0245,0.8085,4.3672
ROK,844,0.7725,0.0344,0.8108,4.3667
TOL,828,0.7597,0.0466,0.8171,4.3662
KIM,559,0.8157,0.0353,0.8166,4.3642
PAG,519,0.8112,0.0535,0.8165,4.3635
ISP.MI,696,0.7845,0.0421,0.8153,4.3635
RMD,542,0.8118,0.0420,0.8191,4.3631
RHM.DE,540,0.8130,0.0449,0.8161,4.3630
TGT,782,0.7749,0.0356,0.8155,4.3609
JNJ,812,0.7906,0.0252,0.8029,4.3608
PEG,727,0.7978,0.0269,0.8076,4.3604
HSL.L,523,0.8298,0.0278,0.8163,4.3596
