symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
CABK.MC,335,0.7761,0.0350,0.8087,3.7785
MDLZ,318,0.8019,0.0235,0.7984,3.7778
SAIN.L,392,0.7806,0.0201,0.7940,3.7770
QQQ,313,0.7987,0.0289,0.7994,3.7768
MNDI.L,319,0.7806,0.0383,0.8072,3.7739
PPET.L,339,0.7257,0.1043,0.8075,3.7721
ICE,309,0.7799,0.0371,0.8128,3.7714
CELH,383,0.7050,0.0948,0.8210,3.7707
SPT.L,459,0.7342,0.0427,0.8031,3.7695
TEF.MC,378,0.7672,0.0307,0.8026,3.7684
FNB,636,0.7028,0.0288,0.8070,3.7675
JFJ.L,376,0.7739,0.0222,0.8023,3.7649
TCAP.L,395,0.7494,0.0418,0.8059,3.7634
GM,250,0.8080,0.0411,0.8096,3.7629
BLKB,384,0.7578,0.0339,0.8064,3.7614
XYL,212,0.8302,0.0334,0.8172,3.7590
CPG.L,414,0.7536,0.0307,0.8025,3.7578
ST,233,0.8197,0.0384,0.8090,3.7570
BATS.L,435,0.7540,0.0233,0.8011,3.7569
ITX.MC,419,0.7422,0.0278,0.8150,3.7556
FCSS.L,253,0.8142,0.0307,0.8079,3.7543
PAH3.DE,293,0.7782,0.0405,0.8155,3.7530
BKG.L,420,0.7524,0.0301,0.8012,3.7522
IHG.L,353,0.7620,0.0333,0.8116,3.7509
IMB.L,435,0.7517,0.0242,0.8015,3.7502
CTY.L,304,0.8191,0.0199,0.7847,3.7499
MRC.L,272,0.8162,0.0266,0.7976,3.7489
REL.L,335,0.7910,0.0240,0.7955,3.7486
CCR.L,380,0.7500,0.0393,0.8092,3.7486
UPS,341,0.7771,0.0258,0.8059,3.7483
BYG.L,434,0.7419,0.0291,0.8078,3.7474
NOW,243,0.8025,0.0445,0.8132,3.7467
PR,221,0.7873,0.0863,0.8106,3.7459
MAP.MC,325,0.7785,0.0330,0.8048,3.7451
CNA.L,527,0.7249,0.0293,0.8005,3.7440
NAS.L,437,0.7506,0.0195,0.8043,3.7435
MGNS.L,486,0.7366,0.0282,0.7980,3.7405
ERIE,510,0.7294,0.0200,0.8062,3.7405
IRDM,346,0.7601,0.0420,0.8066,3.7370
HSX.L,464,0.7349,0.0274,0.8056,3.7361
BMY.L,510,0.7196,0.0281,0.8095,3.7351
BLD,182,0.8407,0.0460,0.8151,3.7339
VOF.L,345,0.7594,0.0266,0.8190,3.7329
TPK.L,434,0.7419,0.0353,0.7998,3.7322
SAFE.L,346,0.7630,0.0354,0.8071,3.7295
OR.PA,385,0.7584,0.0240,0.8053,3.7250
KDP,272,0.7941,0.0277,0.8136,3.7248
GSK.L,466,0.7382,0.0241,0.8010,3.7215
HCA,273,0.7985,0.0339,0.8029,3.7211
EXPN.L,279,0.7957,0.0316,0.8041,3.7194
PAYC,204,0.8137,0.0520,0.8157,3.7170
SFM,210,0.8190,0.0400,0.8152,3.7164
ABDN.L,321,0.7695,0.0364,0.8069,3.7157
RI.PA,399,0.7494,0.0245,0.8076,3.7149
STAG,216,0.8241,0.0339,0.8100,3.7127
ZAL.DE,196,0.8163,0.0520,0.8181,3.7119
ONB,596,0.7013,0.0252,0.8076,3.7115
MYI.L,412,0.7573,0.0194,0.7981,3.7109
SIGI,640,0.6937,0.0264,0.8061,3.7098
GRI.L,520,0.7173,0.0306,0.8019,3.7087
KEYS,170,0.8529,0.0351,0.8168,3.7076
KRG,361,0.7479,0.0436,0.8062,3.7075
DRX.L,326,0.7638,0.0386,0.8072,3.7075
H,268,0.7910,0.0359,0.8084,3.7060
LWDB.L,342,0.7807,0.0216,0.7949,3.7009
MONY.L,314,0.7611,0.0474,0.8065,3.6989
IEM.L,328,0.7774,0.0201,0.8041,3.6963
EXPO,655,0.6824,0.0318,0.8092,3.6959
WKP.L,443,0.7314,0.0337,0.8019,3.6958
JHG,136,0.8750,0.0449,0.8213,3.6945
JEGI.L,339,0.7906,0.0220,0.7841,3.6925
VST,164,0.8354,0.0509,0.8235,3.6913
FFIN,560,0.7107,0.0242,0.8007,3.6894
TXRH,347,0.7550,0.0333,0.8081,3.6894
SY1.DE,284,0.7887,0.0279,0.8044,3.6863
PANW,244,0.7869,0.0447,0.8145,3.6838
SCT.L,181,0.8398,0.0382,0.8116,3.6824
MUSA,205,0.8195,0.0363,0.8137,3.6817
VNOM,191,0.8220,0.0532,0.8086,3.6804
CZR,233,0.7768,0.0656,0.8144,3.6778
FAF,251,0.8048,0.0294,0.8028,3.6775
WIZZ.L,213,0.8028,0.0537,0.8101,3.6773
QLYS,230,0.7957,0.0478,0.8102,3.6761
MA,293,0.7782,0.0327,0.8046,3.6749
PSX,234,0.8034,0.0388,0.8064,3.6743
O,466,0.7318,0.0228,0.7986,3.6736
CADE,698,0.6819,0.0233,0.8037,3.6734
BAG.L,479,0.7223,0.0223,0.8055,3.6723
DGE.L,406,0.7537,0.0228,0.7926,3.6716
PEN,191,0.8168,0.0505,0.8139,3.6713
ARMK,185,0.8324,0.0366,0.8141,3.6708
PTEC.L,365,0.7397,0.0350,0.8116,3.6678
APTV,225,0.8000,0.0435,0.8102,3.6664
WU,281,0.7829,0.0319,0.8043,3.6659
AMS.MC,249,0.7992,0.0300,0.8064,3.6655
SOI.L,219,0.8265,0.0286,0.7993,3.6650
GWRE,236,0.7966,0.0367,0.8112,3.6633
LYB,234,0.7949,0.0422,0.8096,3.6618
ROVI.MC,287,0.7700,0.0342,0.8115,3.6596
JUP.L,256,0.7891,0.0345,0.8074,3.6573
CRWD,117,0.8632,0.0799,0.8222,3.6568
LOPE,270,0.7741,0.0362,0.8135,3.6555
DSCV.L,511,0.7065,0.0329,0.8026,3.6538
GIVN.SW,364,0.7555,0.0214,0.8025,3.6533
IQV,181,0.8287,0.0369,0.8166,3.6517
SRP.L,460,0.7196,0.0293,0.8038,3.6514
V,231,0.8139,0.0289,0.8002,3.6498
KGX.DE,213,0.7981,0.0447,0.8153,3.6475
TEP.L,506,0.6996,0.0351,0.8087,3.6475
RCP.L,459,0.7320,0.0172,0.7989,3.6472
HWM,164,0.8415,0.0435,0.8134,3.6469
OLLI,195,0.8051,0.0526,0.8151,3.6462
CBG.L,389,0.7481,0.0269,0.7955,3.6461
AENA.MC,172,0.8314,0.0307,0.8247,3.6418
CBOE,261,0.7854,0.0256,0.8113,3.6393
DNLM.L,383,0.7337,0.0371,0.8035,3.6384
GLPI,161,0.8634,0.0326,0.8019,3.6371
WTW,350,0.7571,0.0227,0.8009,3.6343
FBIN,238,0.7941,0.0350,0.8074,3.6342
BRSC.L,288,0.7847,0.0227,0.7991,3.6339
HFG.DE,140,0.8286,0.0803,0.8200,3.6324
LNTH,210,0.7857,0.0614,0.8138,3.6320
VAC,250,0.7720,0.0475,0.8128,3.6318
WING,202,0.7921,0.0546,0.8176,3.6286
SHC.L,289,0.7612,0.0337,0.8131,3.6278
JMAT.L,427,0.7330,0.0278,0.7941,3.6253
IR,157,0.8471,0.0415,0.8111,3.6233
COL.MC,415,0.7108,0.0410,0.8117,3.6223
IRT,188,0.8245,0.0323,0.8112,3.6190
UNI.MC,152,0.8289,0.0467,0.8289,3.6180
GRG.L,480,0.7167,0.0248,0.7976,3.6176
HILS.L,487,0.7043,0.0312,0.8037,3.6133
BRGE.L,253,0.7984,0.0237,0.7978,3.6107
CHX,159,0.7987,0.0843,0.8211,3.6089
CCC.L,450,0.7111,0.0327,0.8039,3.6080
IPO.L,404,0.7129,0.0421,0.8085,3.6063
PCTY,223,0.7848,0.0471,0.8108,3.6052
SGE.L,414,0.7367,0.0217,0.7943,3.6041
RDC.DE,169,0.8166,0.0602,0.8104,3.6031
LR.PA,303,0.7591,0.0308,0.8040,3.5963
NCC.L,399,0.7193,0.0346,0.8063,3.5948
STWD,188,0.8298,0.0293,0.8011,3.5864
MEGP.L,515,0.6835,0.0453,0.8030,3.5834
ACM,344,0.7442,0.0327,0.7977,3.5824
VC,256,0.7656,0.0445,0.8072,3.5822
UU.L,467,0.7195,0.0204,0.7936,3.5821
SGRO.L,340,0.7559,0.0260,0.7918,3.5810
ALLY,202,0.8020,0.0375,0.8099,3.5804
LRE.L,355,0.7408,0.0279,0.7997,3.5779
REXR,204,0.8088,0.0290,0.8076,3.5778
FEML.L,246,0.8049,0.0198,0.7904,3.5747
SLR.MC,344,0.7035,0.0567,0.8228,3.5745
NSA,186,0.8172,0.0343,0.8075,3.5706
ALLE,179,0.8268,0.0311,0.8061,3.5688
PSTG,201,0.7761,0.0489,0.8251,3.5657
PM,227,0.7974,0.0235,0.8044,3.5641
GNS.L,461,0.6963,0.0337,0.8061,3.5597
BNR.DE,227,0.7930,0.0270,0.8048,3.5585
DG,228,0.7807,0.0331,0.8118,3.5578
INVH,126,0.8810,0.0352,0.8044,3.5535
PNN.L,467,0.7066,0.0234,0.7989,3.5523
TSCO.L,442,0.7149,0.0226,0.7969,3.5504
CG,236,0.7712,0.0371,0.8117,3.5497
GMED,222,0.7838,0.0318,0.8115,3.5485
ICGT.L,417,0.7218,0.0216,0.7971,3.5477
CURY.L,320,0.7281,0.0414,0.8105,3.5468
ABBV,232,0.7759,0.0289,0.8140,3.5422
HLNE,155,0.8258,0.0470,0.8110,3.5408
ELM.L,540,0.6778,0.0378,0.7994,3.5388
BRBR,103,0.8738,0.0504,0.8301,3.5386
KMI,210,0.7905,0.0290,0.8126,3.5375
HOMB,335,0.7313,0.0295,0.8060,3.5300
HPE,167,0.8144,0.0468,0.8075,3.5273
NWE,238,0.7815,0.0256,0.8034,3.5264
RRTL.DE,184,0.8043,0.0300,0.8152,3.5256
GDDY,183,0.8033,0.0397,0.8093,3.5246
TMHC,223,0.7803,0.0410,0.8018,3.5244
EVK.DE,176,0.8125,0.0298,0.8136,3.5237
META,233,0.7682,0.0400,0.8084,3.5233
GLEN.L,275,0.7418,0.0462,0.8073,3.5211
VNA.DE,186,0.8065,0.0344,0.8065,3.5193
NESN.SW,317,0.7539,0.0188,0.7943,3.5155
FND,167,0.7904,0.0549,0.8225,3.5140
SCMN.SW,338,0.7337,0.0201,0.8053,3.5117
KNSL,184,0.7989,0.0410,0.8084,3.5099
HLT,169,0.8107,0.0387,0.8115,3.5093
SAIC,188,0.7926,0.0343,0.8154,3.5038
BURL,216,0.7685,0.0407,0.8137,3.5010
NVT,121,0.8595,0.0418,0.8136,3.4999
DHER.DE,140,0.8071,0.0713,0.8179,3.4997
HGT.L,359,0.7242,0.0202,0.8043,3.4981
VRSK,212,0.7925,0.0235,0.8045,3.4981
BERY,222,0.7838,0.0290,0.8018,3.4966
NN.AS,172,0.8140,0.0292,0.8084,3.4899
CFG,172,0.7965,0.0423,0.8157,3.4898
STLAP.PA,216,0.7731,0.0400,0.8065,3.4888
ONTO,114,0.8333,0.0695,0.8250,3.4887
JUST.L,216,0.7685,0.0471,0.8058,3.4884
FIVE,227,0.7621,0.0465,0.8051,3.4859
IGG.L,344,0.7238,0.0286,0.8012,3.4857
PFGC,169,0.7929,0.0568,0.8098,3.4848
HAS.L,510,0.6804,0.0287,0.7981,3.4839
NCLH,239,0.7406,0.0602,0.8092,3.4821
AMH,175,0.8114,0.0280,0.8071,3.4811
PRX.AS,100,0.8600,0.0579,0.8290,3.4808
TRN.MI,306,0.7484,0.0192,0.7964,3.4786
NG.L,334,0.7365,0.0204,0.7957,3.4767
DWS.DE,109,0.8532,0.0440,0.8294,3.4725
POST,208,0.7788,0.0304,0.8089,3.4681
PYPL,143,0.8322,0.0411,0.8049,3.4658
TLX.DE,207,0.7826,0.0275,0.8072,3.4649
G,284,0.7500,0.0259,0.7956,3.4601
DOCU,139,0.8058,0.0621,0.8151,3.4472
WDAY,236,0.7500,0.0419,0.8064,3.4456
VVV,147,0.8231,0.0351,0.8088,3.4437
RWI.L,439,0.6902,0.0308,0.7951,3.4432
POR,260,0.7500,0.0231,0.8060,3.4413
PHNX.L,232,0.7586,0.0284,0.8075,3.4344
PLNT,194,0.7629,0.0503,0.8126,3.4333
3IN.L,203,0.7980,0.0193,0.7936,3.4330
GEN.L,226,0.7478,0.0392,0.8137,3.4305
ELF,175,0.7657,0.0592,0.8180,3.4302
CDW,204,0.7794,0.0318,0.8005,3.4266
KHC,131,0.8397,0.0316,0.8092,3.4225
FGT.L,345,0.7275,0.0170,0.7910,3.4219
TMPL.L,368,0.7228,0.0181,0.7864,3.4206
COTY,210,0.7476,0.0501,0.8136,3.4183
DUOL,78,0.8590,0.0881,0.8365,3.4163
PK,137,0.8029,0.0522,0.8201,3.4138
AGR.L,351,0.7066,0.0281,0.8007,3.4106
HIMS,126,0.7619,0.1035,0.8369,3.4086
CCH.L,207,0.7729,0.0263,0.8048,3.4079
RACE.MI,159,0.8050,0.0327,0.8069,3.4045
AUTO.L,152,0.8092,0.0312,0.8099,3.3994
OGS,190,0.7842,0.0265,0.8039,3.3991
PLTR,101,0.8317,0.0837,0.8149,3.3966
DELL,142,0.8099,0.0441,0.8092,3.3954
HFG.L,291,0.7251,0.0261,0.8038,3.3949
EQH,124,0.8306,0.0483,0.8073,3.3941
1COV.DE,173,0.7861,0.0362,0.8064,3.3886
SMWH.L,334,0.7066,0.0263,0.8033,3.3869
UA,158,0.7785,0.0562,0.8117,3.3830
USFD,153,0.7974,0.0378,0.8114,3.3823
LEG.DE,188,0.7713,0.0325,0.8090,3.3771
PLUS.L,231,0.7359,0.0439,0.8067,3.3754
HLE.DE,193,0.7772,0.0295,0.8003,3.3730
AM,142,0.7887,0.0574,0.8148,3.3725
CLNX.MC,164,0.7927,0.0342,0.8052,3.3704
PETS.L,214,0.7477,0.0398,0.8065,3.3676
IDS.L,206,0.7573,0.0364,0.8032,3.3614
HVPE.L,186,0.7796,0.0172,0.8102,3.3609
TBCG.L,169,0.7751,0.0439,0.8083,3.3589
HLI,158,0.7848,0.0349,0.8158,3.3586
FTV,120,0.8417,0.0319,0.8063,3.3583
BRX,173,0.7861,0.0279,0.8049,3.3556
WH,113,0.8496,0.0386,0.8018,3.3505
LOG.MC,129,0.8372,0.0256,0.8016,3.3502
ZTS,190,0.7842,0.0270,0.7916,3.3486
UBER,120,0.8000,0.0592,0.8217,3.3389
OSB.L,219,0.7397,0.0354,0.8068,3.3331
WFRD,98,0.8163,0.0772,0.8245,3.3315
COA.L,364,0.6868,0.0295,0.7985,3.3311
MEDP,148,0.7905,0.0424,0.8074,3.3295
MRNA,127,0.7638,0.0919,0.8228,3.3294
HWG.L,467,0.6488,0.0383,0.8020,3.3221
VOYA,167,0.7904,0.0312,0.7949,3.3200
G24.DE,132,0.8182,0.0268,0.8080,3.3194
PSN,107,0.8505,0.0389,0.8023,3.3191
8TRA.DE,98,0.8469,0.0429,0.8168,3.3155
DEC.L,154,0.7792,0.0429,0.8078,3.3108
KNOS.L,212,0.7406,0.0441,0.7986,3.3105
VICI,95,0.8737,0.0384,0.7979,3.3042
LMP.L,219,0.7443,0.0232,0.8027,3.2974
NBPE.L,212,0.7547,0.0222,0.7972,3.2971
NWSA,175,0.7600,0.0318,0.8126,3.2947
APPF,191,0.7435,0.0445,0.8068,3.2938
ALGM,99,0.8182,0.0642,0.8207,3.2908
ADYEN.AS,139,0.7770,0.0486,0.8155,3.2833
SYF,182,0.7473,0.0378,0.8121,3.2809
HICL.L,215,0.7488,0.0160,0.8021,3.2801
PCFT.L,153,0.8039,0.0197,0.7941,3.2788
USA.L,129,0.8062,0.0337,0.8081,3.2781
CRST.L,234,0.7137,0.0378,0.8096,3.2737
ESNT,202,0.7376,0.0320,0.8087,3.2708
DT,98,0.8265,0.0551,0.8148,3.2652
ENR.DE,98,0.8163,0.0600,0.8209,3.2640
FOUR,86,0.8372,0.0720,0.8140,3.2624
PFD.L,399,0.6491,0.0399,0.8053,3.2567
LIN.DE,108,0.7685,0.1251,0.8023,3.2545
GROW.L,152,0.7500,0.0538,0.8164,3.2461
SPI.L,193,0.7409,0.0326,0.8047,3.2429
DAY,122,0.7869,0.0477,0.8172,3.2419
AXTA,169,0.7633,0.0314,0.8018,3.2419
DLG.L,195,0.7487,0.0228,0.8018,3.2409
SSPG.L,168,0.7619,0.0357,0.8006,3.2408
BHF,141,0.7872,0.0459,0.7940,3.2398
CPRI,242,0.7025,0.0408,0.8066,3.2396
AVTR,108,0.8241,0.0396,0.8042,3.2322
VEIL.L,131,0.8015,0.0248,0.8031,3.2208
LW,134,0.7910,0.0336,0.8026,3.2191
CTVA,109,0.8257,0.0390,0.7982,3.2186
BREE.L,240,0.7042,0.0309,0.8073,3.2143
BME.L,166,0.7651,0.0280,0.7973,3.2093
DBX,130,0.7923,0.0393,0.7992,3.2084
CNXC,75,0.8667,0.0525,0.8113,3.2050
PPH.L,287,0.6864,0.0233,0.8057,3.2049
ALPH.L,163,0.7423,0.0512,0.8021,3.1922
AAF.L,107,0.7944,0.0572,0.8098,3.1845
CNM,68,0.8824,0.0420,0.8169,3.1801
PNL.L,259,0.7220,0.0082,0.7855,3.1795
NWS,181,0.7403,0.0270,0.8008,3.1687
SRE.L,348,0.6552,0.0310,0.7977,3.1550
IHP.L,149,0.7584,0.0300,0.8057,3.1536
PHP.L,380,0.6553,0.0157,0.7959,3.1480
PSH.L,118,0.7881,0.0337,0.8085,3.1478
RICA.L,203,0.7389,0.0106,0.7916,3.1437
AT1.DE,142,0.7535,0.0384,0.8067,3.1327
MRL.MC,161,0.7516,0.0268,0.7969,3.1286
LIVN,161,0.7453,0.0321,0.7994,3.1284
MTRO.L,200,0.6900,0.0482,0.8145,3.1242
DTG.DE,54,0.9074,0.0405,0.8250,3.1213
SHL.DE,115,0.8000,0.0303,0.7957,3.1175
RHIM.L,141,0.7447,0.0434,0.8074,3.1091
CHWY,99,0.7677,0.0707,0.8192,3.1009
MNG.L,82,0.8293,0.0392,0.8140,3.0999
BILL,96,0.7708,0.0723,0.8193,3.0980
CLDN.L,251,0.6853,0.0196,0.8018,3.0977
HGV,136,0.7500,0.0461,0.8022,3.0967
CMCX.L,181,0.7072,0.0443,0.8050,3.0936
ABI.BR,470,0.6149,0.0139,0.8048,3.0881
QLT.L,141,0.7376,0.0340,0.8117,3.0679
CEG,68,0.8382,0.0501,0.8206,3.0584
BOWL.L,155,0.7355,0.0332,0.7965,3.0562
FAN.L,194,0.6959,0.0331,0.8054,3.0531
WOSG.L,107,0.7570,0.0567,0.8150,3.0524
TRN.L,121,0.7438,0.0498,0.8132,3.0505
PAY.L,381,0.6220,0.0259,0.8010,3.0391
ABNB,75,0.8133,0.0522,0.8193,3.0365
BBH.L,149,0.7383,0.0282,0.7973,3.0325
BJ,133,0.7444,0.0390,0.7981,3.0233
ESAB,53,0.8679,0.0470,0.8340,3.0231
BHMG.L,216,0.6898,0.0123,0.8037,3.0193
DTM,54,0.8704,0.0362,0.8287,2.9952
IBST.L,182,0.7033,0.0303,0.7929,2.9928
ZI,91,0.7802,0.0417,0.8060,2.9624
INPP.L,163,0.7178,0.0132,0.7969,2.9559
CGT.L,316,0.6361,0.0089,0.7970,2.9454
HBR.L,74,0.7838,0.0523,0.8257,2.9402
ALC.SW,86,0.8023,0.0316,0.7948,2.9378
FOXA,94,0.7553,0.0379,0.8229,2.9377
BBOX.L,151,0.7152,0.0220,0.7921,2.9088
AML.L,113,0.6991,0.0857,0.8084,2.9061
AG1.DE,80,0.7500,0.0731,0.8137,2.8780
CARR,85,0.7765,0.0315,0.8053,2.8729
ALFA.L,107,0.7196,0.0501,0.8098,2.8652
ROIV,80,0.7750,0.0555,0.7956,2.8601
ENOG.L,128,0.7031,0.0480,0.7980,2.8578
MOON.L,92,0.7500,0.0451,0.8027,2.8518
RYAN,65,0.8154,0.0345,0.8054,2.8464
GCP.L,154,0.6948,0.0147,0.8000,2.8445
UKW.L,130,0.7077,0.0196,0.8058,2.8346
VNT,64,0.7969,0.0350,0.8227,2.8323
CTEC.L,147,0.6803,0.0279,0.8105,2.8322
SYNC.L,182,0.6648,0.0249,0.7962,2.8260
JTC.L,145,0.6897,0.0263,0.8010,2.8255
NXT,35,0.8857,0.0766,0.8214,2.8070
VAL,58,0.7931,0.0610,0.8172,2.8042
WMG,81,0.7531,0.0465,0.8074,2.8040
AJB.L,134,0.6940,0.0316,0.7981,2.8031
DOW,98,0.7245,0.0295,0.8082,2.7699
TRST.L,75,0.7467,0.0595,0.8067,2.7636
AO.L,207,0.6232,0.0413,0.7969,2.7599
DASH,76,0.7500,0.0547,0.8026,2.7579
EDV.L,93,0.7097,0.0391,0.8215,2.7524
TMV.DE,87,0.7356,0.0312,0.8103,2.7524
KBX.DE,94,0.7234,0.0277,0.8128,2.7517
BBGI.L,162,0.6667,0.0157,0.7960,2.7453
BCG.L,69,0.7681,0.0470,0.8014,2.7382
XPS.L,124,0.6855,0.0309,0.8024,2.7378
FOX,83,0.7349,0.0335,0.8120,2.7329
SSON.L,85,0.7647,0.0191,0.7841,2.7220
TRIG.L,148,0.6689,0.0176,0.7963,2.7123
ESP.L,141,0.6667,0.0182,0.7961,2.6782
THG.L,74,0.7027,0.0749,0.8135,2.6529
KD,66,0.7424,0.0442,0.8091,2.6374
HAG.DE,76,0.7105,0.0499,0.8092,2.6221
FYBR,54,0.7778,0.0523,0.7972,2.6148
GXO,60,0.7500,0.0430,0.8075,2.5968
ACI,66,0.7273,0.0302,0.8242,2.5966
YETI,110,0.6636,0.0425,0.7964,2.5947
BAKK.L,125,0.6480,0.0336,0.7944,2.5733
CHRY.L,123,0.6504,0.0292,0.7959,2.5682
NVST,81,0.7037,0.0292,0.8031,2.5631
NESF.L,122,0.6557,0.0156,0.7971,2.5545
FGEN.L,113,0.6726,0.0141,0.7889,2.5486
SEIT.L,67,0.7164,0.0339,0.8149,2.5469
EXE,58,0.7414,0.0361,0.8103,2.5380
GEHC,27,0.8889,0.0375,0.8241,2.5324
FSFL.L,111,0.6847,0.0101,0.7752,2.5298
AMCR,102,0.6765,0.0208,0.7853,2.5133
URW.PA,28,0.8929,0.0372,0.8054,2.5113
APAX.L,154,0.6169,0.0177,0.7896,2.5002
R3NK.DE,15,0.9333,0.1168,0.8500,2.4566
ONT.L,56,0.7143,0.0578,0.8027,2.4521
BSIF.L,112,0.6518,0.0130,0.7830,2.4442
ROO.L,69,0.6957,0.0314,0.7964,2.4276
THRL.L,196,0.5714,0.0111,0.7921,2.4179
DOCS.L,67,0.6866,0.0340,0.8000,2.3964
DOCS,62,0.6774,0.0531,0.8065,2.3835
BPT.L,77,0.6623,0.0408,0.7935,2.3833
N91.L,89,0.6517,0.0253,0.7899,2.3750
BYIT.L,76,0.6711,0.0265,0.7914,2.3681
HTWS.L,86,0.6395,0.0329,0.8017,2.3652
SHED.L,151,0.5762,0.0239,0.7934,2.3514
OTIS,58,0.6897,0.0230,0.8095,2.3288
SHC,55,0.6909,0.0348,0.8000,2.3023
SUPR.L,107,0.6168,0.0086,0.7874,2.2936
DWL.L,23,0.8261,0.0668,0.8130,2.2772
ATG.L,56,0.6786,0.0309,0.8009,2.2652
TFIF.L,96,0.6146,0.0068,0.7828,2.2158
ANE.MC,48,0.6667,0.0289,0.8073,2.1552
CAVA,20,0.8000,0.0600,0.8300,2.1428
PHLL.L,59,0.6271,0.0243,0.7915,2.0817
POLN.L,97,0.5464,0.0132,0.7902,2.0058
HLN.L,26,0.7308,0.0227,0.8115,1.9990
SEQI.L,112,0.5179,0.0087,0.7875,1.9446
CR,24,0.7083,0.0334,0.8125,1.9144
P911.DE,28,0.6786,0.0270,0.8000,1.8772
CART,21,0.7143,0.0449,0.7952,1.8346
WPS.L,59,0.5424,0.0226,0.8025,1.8225
FSG.L,54,0.5370,0.0323,0.7963,1.7691
ITH.L,38,0.5526,0.0406,0.8171,1.7214
KVUE,17,0.7059,0.0173,0.7853,1.6299
VLTO,12,0.7500,0.0174,0.7833,1.5331
KNF,23,0.6087,0.0225,0.7717,1.5264
GEV,8,0.7500,0.0591,0.7625,1.3308
SOLV,6,0.6667,0.0169,0.7250,0.9565
PUIG.MC,3,0.6667,0.0219,0.7667,0.7241
RPI.L,1,1.0000,0.0701,0.7000,0.5192
